resolved.taxa.name,form,variety,species,genus,family,order,class,phylum,kingdom,rank,tol.id,source
Komarekia appendiculata,NA,NA,Komarekia appendiculata,Komarekia,Scenedesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Archaeplastida,species,5152975,tol
Trachelomonas bernardinensis,NA,NA,Trachelomonas bernardinensis,Trachelomonas,Euglenaceae,NA,Euglenophyceae,Euglenida,NA,species,255570,tol
Phormidium splendens,NA,NA,Geitlerinema splendidum,Geitlerinema,NA,NA,NA,Cyanobacteria,NA,species,894217,tol
Staurastrum punctatum,NA,NA,Staurastrum punctulatum,Staurastrum,Desmidiaceae,Desmidiales,Zygnemophyceae,Streptophyta,Archaeplastida,species,36847,tol
Chlorogonium acutiforme,NA,NA,Chlorogonium acutiforme,Chlorogonium,Haematococcaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Archaeplastida,species,5418626,tol
Chlorogonium elongatum,NA,NA,Chlorogonium elongatum,Chlorogonium,Haematococcaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Archaeplastida,species,864777,tol
Staurastrum boreale,NA,NA,Staurastrum boreale,Staurastrum,Desmidiaceae,Desmidiales,Zygnemophyceae,Streptophyta,Archaeplastida,species,3853693,tol
Pinnularia interupta,NA,NA,Pinnularia interrupta,Pinnularia,NA,NA,Bacillariophyceae,Bacillariophyta,NA,species,2816069,tol
Closterium praelongum,NA,NA,Closterium praelongum,Closterium,Closteriaceae,Desmidiales,Zygnemophyceae,Streptophyta,Archaeplastida,species,3854761,tol
Katodinium mazuricum,NA,NA,Katodinium mazuricum,Katodinium,Tovelliaceae,NA,Dinophyceae,NA,NA,species,2831348,tol
Bambusina brebissonii,NA,NA,Bambusina borreri,Bambusina,Desmidiaceae,Desmidiales,Zygnemophyceae,Streptophyta,Archaeplastida,species,986534,tol
Staurodesmus megacanthus,NA,NA,Staurodesmus megacanthus,Staurodesmus,Desmidiaceae,Desmidiales,Zygnemophyceae,Streptophyta,Archaeplastida,species,745999,tol
Stephanocodon socialis,NA,NA,Bicosoeca socialis,Bicosoeca,Bicosoecidae,Bicosoecida,NA,NA,NA,species,5602947,tol
Dictyosphaerium botrytella,NA,NA,Mychonastes botrytella,Mychonastes,Mychonastaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Archaeplastida,species,5385885,tol
Staurastrum pachyrhynchum,NA,NA,Staurastrum pachyrhynchum,Staurastrum,Desmidiaceae,Desmidiales,Zygnemophyceae,Streptophyta,Archaeplastida,species,3853861,tol
Petalomonas,NA,NA,NA,Petalomonas,NA,NA,NA,Euglenida,NA,genus,1081861,tol
Komarekia,NA,NA,NA,Komarekia,Scenedesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Archaeplastida,genus,5152974,tol
Staurastrum granulosum,NA,NA,Raphidiastrum granulosum,Raphidiastrum,Desmidiaceae,Desmidiales,Zygnemophyceae,Streptophyta,Archaeplastida,species,5386110,tol
Staurastrum longiradiatum,NA,NA,Staurastrum longiradiatum,Staurastrum,Desmidiaceae,Desmidiales,Zygnemophyceae,Streptophyta,Archaeplastida,species,3853868,tol
Staurodesmus planktonicum,NA,NA,Staurodesmus planktonicum,Staurodesmus,Desmidiaceae,Desmidiales,Zygnemophyceae,Streptophyta,Archaeplastida,species,6135233,tol
Closterium laterale,NA,NA,Closterium laterale,Closterium,Closteriaceae,Desmidiales,Zygnemophyceae,Streptophyta,Archaeplastida,species,3854782,tol
Staurastrum gladiosum,NA,NA,Staurastrum gladiosum,Staurastrum,Desmidiaceae,Desmidiales,Zygnemophyceae,Streptophyta,Archaeplastida,species,592431,tol
Anabaena inaequalis,NA,NA,Anabaena inaequalis,Anabaena,NA,NA,NA,Cyanobacteria,NA,species,526199,tol
Ochromonas elegans,NA,NA,Ochromonas elegans,Ochromonas,NA,Ochromonadales,Chrysophyceae,NA,NA,species,5399862,tol
Staurodesmus glaber,NA,NA,Staurodesmus glaber,Staurodesmus,Desmidiaceae,Desmidiales,Zygnemophyceae,Streptophyta,Archaeplastida,species,50778,tol
Cyclotella catenata,NA,NA,Cyclotella catenata,Cyclotella,NA,NA,Mediophyceae,Bacillariophyta,NA,species,2811692,tol
Navicula subtilissima,NA,NA,Kobayasiella subtilissima,Kobayasiella,NA,NA,Bacillariophyceae,Bacillariophyta,NA,species,2817135,tol
Cyclotella iris,NA,NA,Cyclotella iris,Cyclotella,NA,NA,Mediophyceae,Bacillariophyta,NA,species,2811706,tol
Peridinium lomnickii,NA,NA,Chimonodinium lomnickii,Chimonodinium,NA,Peridiniales,Dinophyceae,NA,NA,species,647977,tol
Pseudosphaerocystis neglecta,NA,NA,Pseudosphaerocystis neglecta,Pseudosphaerocystis,Palmellaceae,Tetrasporales,Chlorophyceae,Chlorophyta,Archaeplastida,species,4735116,tol
Coelastrum cubicum,NA,NA,Coelastrum sphaericum,Coelastrum,Scenedesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Archaeplastida,species,664553,tol
Franceia ciliata,NA,NA,Franceia ciliata,Franceia,Oocystaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,Archaeplastida,species,6001528,tol
Closterium cynthia,NA,NA,Closterium cynthia,Closterium,Closteriaceae,Desmidiales,Zygnemophyceae,Streptophyta,Archaeplastida,species,6135085,tol
