tax.uid,mean.mass,accepted.taxa.name,genus,family,order,class,phylum,kingdom
tax-2303,1500,Cosmarium trilobulatum,Cosmarium,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-2304,463.54,Cosmarium angulosum,Cosmarium,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-2305,138.23,Cosmarium regnesi,Cosmarium,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-2306,1074293.4356474017,Cosmarium formosulum,Cosmarium,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-2307,492.0100011156799,Cosmarium garrolense,Cosmarium,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-2309,12996.5,Cosmarium amoenum,Cosmarium,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-231,3966.772916571473,Ankistrodesmus fusiformis,Ankistrodesmus,Selenastraceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae
tax-2310,492.0100011156799,Cosmarium quadrum,Cosmarium,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-2319,5583.9731367837485,Willea truncata,Willea,Oocystaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,Plantae
tax-232,83.73333333333333,Kirchneriella incurvata,Kirchneriella,Selenastraceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae
tax-2327,18869.19,Desmidium coarctatum,Desmidium,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-233,358.2716663838543,Scenedesmus bicaudatus,Scenedesmus,Scenedesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae
tax-2330,1195.7064250912683,Euastropsis richteri,Euastropsis,Hydrodictyaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae
tax-2331,585005.5548494791,Euastrum pulchellum,Euastrum,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-2332,115323.23903701112,Euastrum insulare,Euastrum,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-2333,5943.589987247172,Euastrum amoenum,Euastrum,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-2334,4288.742530802608,Euastrum binale,Euastrum,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-2335,699831.6557064913,Euastrum bidentatum,Euastrum,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-2336,142433.6635043024,Euastrum oblongum,Euastrum,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-2337,155887.85500055784,Euastrum crassum,Euastrum,Desmidiaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-2339,119874.25851108204,Eudorina,Eudorina,Volvocaceae,Volvocales,Chlorophyceae,Chlorophyta,Plantae
tax-234,370.588333050521,Desmodesmus lefevrei,Desmodesmus,Scenedesmaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae
tax-2340,10146.732838446076,Sphaerellocystis ampla,Sphaerellocystis,Palmellopsidaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Plantae
tax-2341,2.0286666666666665e-4,Geminella,Geminella,Chlorellaceae,Chlorellales,Trebouxiophyceae,Chlorophyta,Plantae
tax-2343,530.3433333333334,Golenkinia paucispina,Golenkinia,Neochloridaceae,Sphaeropleales,Chlorophyceae,Chlorophyta,Plantae
tax-2344,10369.61,Gonatozygon aculeatum,Gonatozygon,Gonatozygaceae,Desmidiales,Zygnematophyceae,Charophyta,Plantae
tax-2346,86834.50223558876,Tetrabaena socialis,Tetrabaena,Tetrabaenaceae,Chlamydomonadales,Chlorophyceae,Chlorophyta,Plantae
