uid,species,Codon,Ecosytem,Habitat,Reference,Note,name
322,Cryptomonas marsonii,Y,Stissing lake (USA),"shallow, mesoeutrophic, dimictic",Huszar et al. (2003),NA,species.2
323,Cryptomonas curvata,Y,Chodikee lake (USA),"shallow, eutrophic",Huszar et al. (2003),NA,species.1
324,Cryptomonas spp.,Y,Ömerli Reservoir (Istanbul),drinking water,Albay & Akçaalan (2003),NA,species.1
325,Cryptomonas ovata,Y,Hungarian shallow lakes,NA,Padisák et al. (2003a),Rhodomonas to X2,species.1
325,Cryptomonas marssonii,Y,Hungarian shallow lakes,NA,Padisák et al. (2003a),Rhodomonas to X2,species.2
325,Rhodomonas,Y,Hungarian shallow lakes,NA,Padisák et al. (2003a),Rhodomonas to X2,species.3
326,Cryptomonas spp.,Y,Lower Paraná river wetland (Argentina),shallow lake and three relict oxbow lakes,O'Farrell et al. (2003),NA,species.1
327,Cryptomonas spp.,Y,Sicilian water bodies,NA,Barone & Naselli-Flores (2003),NA,species.1
328,Cryptomonas erosa,Y,Hungarian shallow lakes,NA,Padisák et al. (2003a),NA,species.1
328,Cryptomonas marsonii,Y,Hungarian shallow lakes,NA,Padisák et al. (2003a),NA,species.2
328,Cryptomonas ovata,Y,Hungarian shallow lakes,NA,Padisák et al. (2003a),NA,species.3
328,Cryptomonas reflexa Gymnodinium spp.,Y,Hungarian shallow lakes,NA,Padisák et al. (2003a),NA,species.4
329,Cryptomonassp.,Y,Vouglans reservoir,"deep dam reservoir, mixing and eutrophication, respectively",Leitão et al. (2003),NA,species.1
330,Cryptomonas sp.,Y,Lake Rodó (Uruguay),"shallow , polimictic",Kruk et al. (2002),to X2,species.1
330,Chroomonas sp.,Y,Lake Rodó (Uruguay),"shallow , polimictic",Kruk et al. (2002),to X2,species.2
331,Komma caudata,Y,Juturnaíba Reservoir (Brazil),"Water supply, shallow",Marinho & Huszar (2002),NA,species.1
331,Cryptomonas marsonii,Y,Juturnaíba Reservoir (Brazil),"Water supply, shallow",Marinho & Huszar (2002),NA,species.2
331,Cryptomonas sp.,Y,Juturnaíba Reservoir (Brazil),"Water supply, shallow",Marinho & Huszar (2002),NA,species.3
332,Cryptomonas sp.,Y,Juturnaíba Lake (Brazil),productive lake,Huszar et al. (2000),NA,species.1
333,Cryptomonas sp.,Y,Garças Reservoir (Brazil),productive lake,Huszar et al. (2000),NA,species.1
334,Cryptomonas cf. marssonii,Y,Poço da Cruz Lake (Brazil),productive lake,Huszar et al. (2000),NA,species.1
335,Cryptomonas pyrenoidifera,Y,Lake Batata (Brazil),Amazonian flood-plain,Melo & Huszar (2000); Huszar & Reynolds (1997),to X2,species.1
336,Cryptophytes,Y,Sardis Reservoir (USA),water level changes,Sthapit et al. (2008),this taxonomic resolution does not allow sorting into coda,species.1
337,Botryococcus braunii,F,Dom Helvécio Lake (Brazil),"deep, oligotrophic, atelomixis",Souza et al. (2008),NA,species.1
338,Nephrocytium sp.,F,Faxinal Reservoir,"deep, meso-eutrophic, warm monomictic, atelomictic, water  supply",Becker et al. (2008),NA,species.1
338,Eutetramorus fotii,F,Faxinal Reservoir,"deep, meso-eutrophic, warm monomictic, atelomictic, water  supply",Becker et al. (2008),NA,species.2
339,Botryococcus braunii,F,Garças Reservoir (Brazil),"shallow, eutrophic, polimictic,",Fonseca & Bicudo (2008),NA,species.1
340,Colonial Chlorococcaleans (Botryococcus,F,Hungarian rivers,NA,Borics et al. (2007),NA,species.1
340,Pseudosphaerocystis,F,Hungarian rivers,NA,Borics et al. (2007),NA,species.2
340,Coenochlorys,F,Hungarian rivers,NA,Borics et al. (2007),NA,species.3
340,Oocystis),F,Hungarian rivers,NA,Borics et al. (2007),NA,species.4
340,Elakatothrix,F,Hungarian rivers,NA,Borics et al. (2007),NA,species.5
341,Botryococcus protuberans,F,Mundaú Reservoir (Brazil),"water supply, shallow",Moura et al. (2007),NA,species.1
341,Kirchneriella lunaris,F,Mundaú Reservoir (Brazil),"water supply, shallow",Moura et al. (2007),NA,species.2
341,Kirchneriella obesa,F,Mundaú Reservoir (Brazil),"water supply, shallow",Moura et al. (2007),NA,species.3
341,Oocystis lacustris,F,Mundaú Reservoir (Brazil),"water supply, shallow",Moura et al. (2007),NA,species.4
342,Botryococcus braunii,F,Lake Kastoria (Greece),"higly eutrophic, shallow",Moustaka-Goun et al. (2007),NA,species.1
342,Oocystis sp.,F,Lake Kastoria (Greece),"higly eutrophic, shallow",Moustaka-Goun et al. (2007),NA,species.2
343,Oocystis lacustris,F,Lake Tanganyika (Africa),"deep, meromictic",Stoyneva et al. (2007),NA,species.1
343,Lobocystis planctonica var. mucosa,F,Lake Tanganyika (Africa),"deep, meromictic",Stoyneva et al. (2007),NA,species.2
