body size,source code,Authors,Article Title,Source Title,Publication Year,Volume,Issue,Start Page,End Page,DOI,Abstract
D,69,"Colomer, J; Müller, MF; Barcelona, A; Serra, T",Mediated food and hydrodynamics on the ingestion of microplastics by Daphnia magna,ENVIRONMENTAL POLLUTION,2019,251,,434,441,10.1016/j.envpol.2019.05.034, investigated the variability in the ingestion of MP to food ratios and the exposed time of MP to Daphnia magna in non-sheared and sheared conditions
D,70,"Tseng, M; Bernhardt, JR; Chila, AE",Species interactions mediate thermal evolution,EVOLUTIONARY APPLICATIONS,2019,12,7,1463,1474,10.1111/eva.12805,how thermal evolution of Daphnia pulex to two selection temperatures (12 and 18°C) is mediated by rapid thermal evolution of its algal resource (Scenedesmus obliquus) or by the presence of the zooplankton predator Chaoborus americanu
D,71,"Jordan, MP; Stewart, AR; Eagles-Smith, CA; Strecker, AL",Nutrients mediate the effects of temperature on methylmercury concentrations in freshwater zooplankton,SCIENCE OF THE TOTAL ENVIRONMENT,2019,667,,601,612,10.1016/j.scitotenv.2019.02.259,how warmer water temperatures and excess nutrients would alter zooplankton communities and phytoplankton concentrations
D,72,"Josué, IIP; Cardoso, SJ; Miranda, M; Mucci, M; Ger, KA; Roland, F; Marinho, MM",Cyanobacteria dominance drives zooplankton functional dispersion,HYDROBIOLOGIA,2019,831,1,149,161,10.1007/s10750-018-3710-0,assessed the effects of eutrophication and cyanobacteria blooms on zooplankton functional diversity in a tropical hypereutrophic lake.
D,73,"Raveh, S; Langen, K; Bakker, TCM; Josephs, C; Frommen, JG","Oddity, predation risk and social decisions in aquatic invertebrates",ETHOLOGY,2019,125,2,106,113,10.1111/eth.12835,examined the oddity effect and swarming preferences in two differently sized species of freshwater planktonic crustaceans
D,74,"Wilkinson, AA; Hondzo, M; Guala, M",Investigating Abiotic Drivers for Vertical and Temporal Heterogeneities of Cyanobacteria Concentrations in Lakes Using a Seasonal In Situ Monitoring Station,WATER RESOURCES RESEARCH,2019,55,2,954,972,10.1029/2018WR024228,The abiotic drivers for toxic HAB are investigated using a research station deployed in a eutrophic lake in Minnesota in 2016.
D,76,"Mironova, E; Gopko, M; Pasternak, A; Mikheev, V; Taskinen, J",Trematode cercariae as prey for zooplankton: effect on fitness traits of predators,PARASITOLOGY,2019,146,1,105,111,10.1017/S0031182018000963,
D,77,"Mandal, S; Wilkins, RA; Shurin, JB",Compensatory grazing by Daphnia generates a trade-off between top-down and bottom-up effects across phytoplankton taxa,ECOSPHERE,2018,9,12,,,10.1002/ecs2.2537,compared functional and structural traits of 14 species of freshwater phytoplankton to test the influence of life history on grazing and growth rate of Daphnia consumers
D,80,"Bestion, E; García-Carreras, B; Schaum, CE; Pawar, S; Yvon-Durocher, G",Metabolic traits predict the effects of warming on phytoplankton competition,ECOLOGY LETTERS,2018,21,5,655,664,10.1111/ele.12932,evelop a theoretical model that links interspecific differences in the temperature dependence of resource acquisition and growth to the outcome of pairwise competition in phytoplankton
D,82,"Jones, NT; Gilbert, B",Geographic signatures in species turnover: decoupling colonization and extinction across a latitudinal gradient,OIKOS,2018,127,4,507,517,10.1111/oik.04590,"how zooplankton communities (copepods and cladocerans) have changed over a 25–75 year time span by assessing colonization and extinction rates from lakes across an 1800 km latitudinal gradient, and further tested whether species traits predict rates of community change over time"
